id_barrio_oficial,barrio_oficial,ciudad,barrio_turistico_objetivo,pct_con_licencia,n_inmuebles,fuente,grupo
244125,Hostafrancs,Barcelona,1,60.42,192,Inside Airbnb (2025),Turistico
244136,La Bordeta,Barcelona,0,51.39,72,Inside Airbnb (2025),No turistico
244142,La Font de la Guatlla,Barcelona,1,47.96,98,Inside Airbnb (2025),Turistico
244147,La Marina del Prat Vermell,Barcelona,0,22.22,9,Inside Airbnb (2025),No turistico
244252,Sants,Barcelona,1,57.01,321,Inside Airbnb (2025),Turistico
244253,Sants-Badal,Barcelona,0,37.19,199,Inside Airbnb (2025),No turistico
245100,El Putxet i el Farró,Barcelona,0,58.63,278,Inside Airbnb (2025),No turistico
245172,Les Tres Torres,Barcelona,0,75.93,54,Inside Airbnb (2025),No turistico
245243,Sant Gervasi - Galvany,Barcelona,0,64.52,589,Inside Airbnb (2025),No turistico
245244,Sant Gervasi - la Bonanova,Barcelona,0,56.82,88,Inside Airbnb (2025),No turistico
245254,Sarrià,Barcelona,0,59.76,82,Inside Airbnb (2025),No turistico
245273,"Vallvidrera, el Tibidabo i les Planes",Barcelona,0,11.54,26,Inside Airbnb (2025),No turistico
301056,Ciutat Jardí,Valencia,1,42.0,100,Inside Airbnb (2025),Turistico
301131,L'Amistat,Valencia,0,50.67,75,Inside Airbnb (2025),No turistico
301133,L'Illa Perduda,Valencia,0,37.5,64,Inside Airbnb (2025),No turistico
301137,La Carrasca,Valencia,0,41.27,63,Inside Airbnb (2025),No turistico
304023,Benicalap,Valencia,1,48.44,128,Inside Airbnb (2025),Turistico
304055,Ciutat Fallera,Valencia,1,38.89,18,Inside Airbnb (2025),Turistico
305026,Benimaclet,Valencia,1,36.49,74,Inside Airbnb (2025),Turistico
305037,Camí de Vera,Valencia,1,71.43,7,Inside Airbnb (2025),Turistico
306005,Aiora,Valencia,1,69.63,349,Inside Airbnb (2025),Turistico
306007,Albors,Valencia,0,42.0,100,Inside Airbnb (2025),No turistico
306035,Camí Fondo,Valencia,1,48.0,50,Inside Airbnb (2025),Turistico
306058,Ciutat Universitària,Valencia,1,53.33,15,Inside Airbnb (2025),Turistico
306140,La Creu del Grau,Valencia,0,64.18,134,Inside Airbnb (2025),No turistico
306209,Penya-Roja,Valencia,0,57.29,96,Inside Airbnb (2025),No turistico
307034,Campanar,Valencia,1,54.76,42,Inside Airbnb (2025),Turistico
307075,El Calvari,Valencia,1,40.0,10,Inside Airbnb (2025),Turistico
314078,El Carme,Valencia,1,65.2,273,Inside Airbnb (2025),Turistico
314090,El Mercat,Valencia,1,62.89,291,Inside Airbnb (2025),Turistico
314095,El Pilar,Valencia,1,81.25,144,Inside Airbnb (2025),Turistico
314154,La Roqueta,Valencia,1,57.8,173,Inside Airbnb (2025),Turistico
314157,La Seu,Valencia,1,67.36,193,Inside Airbnb (2025),Turistico
314165,La Xerea,Valencia,1,55.07,138,Inside Airbnb (2025),Turistico
314241,Sant Francesc,Valencia,1,59.59,245,Inside Airbnb (2025),Turistico
315183,Mestalla,Valencia,1,45.92,98,Inside Airbnb (2025),Turistico
316019,Arrancapins,Valencia,1,61.72,209,Inside Airbnb (2025),Turistico
316073,El Botànic,Valencia,1,61.7,141,Inside Airbnb (2025),Turistico
316150,La Petxina,Valencia,0,64.04,114,Inside Airbnb (2025),No turistico
321036,Camí Reial,Valencia,1,36.0,25,Inside Airbnb (2025),Turistico
321132,L'Hort de Senabre,Valencia,0,32.14,56,Inside Airbnb (2025),No turistico
321139,La Creu Coberta,Valencia,0,37.5,16,Inside Airbnb (2025),No turistico
321153,La Raiosa,Valencia,0,63.19,144,Inside Airbnb (2025),No turistico
321247,Sant Marcel·lí,Valencia,0,46.34,41,Inside Airbnb (2025),No turistico
322171,Les Tendetes,Valencia,0,55.77,52,Inside Airbnb (2025),No turistico
322180,Marxalenes,Valencia,0,42.86,49,Inside Airbnb (2025),No turistico
322187,Morvedre,Valencia,1,64.66,133,Inside Airbnb (2025),Turistico
322259,Tormos,Valencia,0,42.86,56,Inside Airbnb (2025),No turistico
322264,Trinitat,Valencia,0,52.17,46,Inside Airbnb (2025),No turistico
325096,El Pla del Remei,Valencia,1,48.0,50,Inside Airbnb (2025),Turistico
325111,Exposició,Valencia,1,48.15,27,Inside Airbnb (2025),Turistico
325119,Gran Via,Valencia,1,42.86,70,Inside Airbnb (2025),Turistico
325128,Jaume Roig,Valencia,1,37.5,16,Inside Airbnb (2025),Turistico
325228,Russafa,Valencia,1,64.31,566,Inside Airbnb (2025),Turistico
327143,La Fontsanta,Valencia,0,33.33,9,Inside Airbnb (2025),No turistico
327145,La Llum,Valencia,0,33.33,6,Inside Airbnb (2025),No turistico
327193,Nou Moles,Valencia,0,43.64,165,Inside Airbnb (2025),No turistico
327249,Sant Pau,Valencia,0,53.33,30,Inside Airbnb (2025),No turistico
327257,Soternes,Valencia,0,50.0,26,Inside Airbnb (2025),No turistico
327263,Tres Forques,Valencia,0,25.93,27,Inside Airbnb (2025),No turistico
331206,Patraix,Valencia,0,62.6,123,Inside Airbnb (2025),No turistico
331230,Safranar,Valencia,0,36.0,25,Inside Airbnb (2025),No turistico
331245,Sant Isidre,Valencia,0,28.57,7,Inside Airbnb (2025),No turistico
331275,Vara de Quart,Valencia,0,20.0,10,Inside Airbnb (2025),No turistico
332025,Beniferri,Valencia,1,66.67,12,Inside Airbnb (2025),Turistico
332027,Benimàmet,Valencia,1,25.64,39,Inside Airbnb (2025),Turistico
334094,El Perellonet,Valencia,0,55.88,34,Inside Airbnb (2025),No turistico
334102,El Saler,Valencia,0,57.38,61,Inside Airbnb (2025),No turistico
334159,La Torre,Valencia,0,20.0,5,Inside Airbnb (2025),No turistico
334213,Pinedo,Valencia,0,23.53,17,Inside Airbnb (2025),No turistico
335029,Beteró,Valencia,1,35.23,88,Inside Airbnb (2025),Turistico
335074,El Cabanyal - El Canyamelar,Valencia,1,67.33,750,Inside Airbnb (2025),Turistico
335087,El Grau,Valencia,1,61.13,283,Inside Airbnb (2025),Turistico
335146,La Malva-rosa,Valencia,1,53.88,258,Inside Airbnb (2025),Turistico
335190,Natzaret,Valencia,0,68.48,92,Inside Airbnb (2025),No turistico
337059,Ciutat de les Arts i les Ciències,Valencia,1,62.86,105,Inside Airbnb (2025),Turistico
337107,En Corts,Valencia,0,60.0,230,Inside Airbnb (2025),No turistico
337114,Fonteta de Sant Lluís,Valencia,0,41.67,12,Inside Airbnb (2025),No turistico
337135,La Bega Baixa,Valencia,0,20.51,39,Inside Airbnb (2025),No turistico
337152,La Punta,Valencia,0,51.22,41,Inside Airbnb (2025),No turistico
337178,Malilla,Valencia,0,51.47,68,Inside Airbnb (2025),No turistico
337185,Mont-Olivet,Valencia,0,71.48,284,Inside Airbnb (2025),No turistico
337189,Na Rovella,Valencia,0,48.65,74,Inside Airbnb (2025),No turistico
338105,Els Orriols,Valencia,0,31.03,58,Inside Airbnb (2025),No turistico
338246,Sant Llorenç,Valencia,0,32.26,31,Inside Airbnb (2025),No turistico
338261,Torrefiel,Valencia,0,41.43,70,Inside Airbnb (2025),No turistico
