id_barrio_oficial,ciudad,distrito_oficial,barrio_oficial,barrio_turistico_objetivo
129179,Madrid,Moratalaz,Marroquina,0
322180,Valencia,La Saïdia,Marxalenes,0
333181,Valencia,Poblats del Nord,Massarrojos,0
129182,Madrid,Moratalaz,Media Legua,0
315183,Valencia,El Pla del Real,Mestalla,1
117184,Madrid,Fuencarral-El Pardo,Mirasierra,0
337185,Valencia,Quatre Carreres,Mont-Olivet,0
219186,Barcelona,Horta-Guinardó,Montbau,0
322187,Valencia,La Saïdia,Morvedre,1
147188,Madrid,Usera,Moscardó,0
337189,Valencia,Quatre Carreres,Na Rovella,0
335190,Valencia,Poblats Marítims,Natzaret,0
242191,Barcelona,Sant Andreu,Navas,0
139192,Madrid,Retiro,Niño Jesús,1
327193,Valencia,L'Olivereta,Nou Moles,0
224194,Barcelona,L'Eixample,Nova Esquerra de l'Eixample,1
110195,Madrid,Chamartín,Nueva España,0
129196,Madrid,Moratalaz,Numancia,0
108197,Madrid,Carabanchel,Opañel,0
147198,Madrid,Usera,Orcasitas,0
147199,Madrid,Usera,Orcasur,0
139200,Madrid,Retiro,Pacífico,1
109201,Madrid,Centro,Palacio,1
120202,Madrid,Hortaleza,Palomas,0
136203,Madrid,Puente de Vallecas,Palomeras Bajas,0
129204,Madrid,Moratalaz,Palomeras Sureste,0
102205,Madrid,Arganzuela,Palos de la Frontera,1
331206,Valencia,Patraix,Patraix,0
129207,Madrid,Moratalaz,Pavones,0
226208,Barcelona,Les Corts,Pedralbes,0
306209,Valencia,Camins al Grau,Penya-Roja,0
117210,Madrid,Fuencarral-El Pardo,Peñagrande,0
117211,Madrid,Fuencarral-El Pardo,Pilar,0
120212,Madrid,Hortaleza,Pinar del Rey,0
334213,Valencia,Poblats del Sud,Pinedo,0
120214,Madrid,Hortaleza,Piovera,0
333215,Valencia,Poblats del Nord,Poble Nou,0
230216,Barcelona,Nou Barris,Porta,0
136217,Madrid,Puente de Vallecas,Portazgo,0
147218,Madrid,Usera,Pradolongo,0
110219,Madrid,Chamartín,Prosperidad,0
243220,Barcelona,Sant Martí,Provençals del Poblenou,0
112221,Madrid,Ciudad Lineal,Pueblo Nuevo,0
108222,Madrid,Carabanchel,Puerta Bonita,0
123223,Madrid,Latina,Puerta del Ángel,0
112224,Madrid,Ciudad Lineal,Quintana,0
140225,Madrid,Salamanca,Recoletos,1
141226,Madrid,San Blas-Canillejas,Rejas,0
141227,Madrid,San Blas-Canillejas,Rosas,0
325228,Valencia,L'Eixample (Valencia),Russafa,1
111229,Madrid,Chamberí,Ríos Rosas,1
331230,Valencia,Patraix,Safranar,0
224231,Barcelona,L'Eixample,Sagrada Família,1
112232,Madrid,Ciudad Lineal,Salvador,0
150233,Madrid,Villaverde,San Cristóbal,0
136234,Madrid,Puente de Vallecas,San Diego,0
147235,Madrid,Usera,San Fermín,0
108236,Madrid,Carabanchel,San Isidro,0
112237,Madrid,Ciudad Lineal,San Juan Bautista,0
112238,Madrid,Ciudad Lineal,San Pascual,0
242239,Barcelona,Sant Andreu,Sant Andreu de Palomar,0
224240,Barcelona,L'Eixample,Sant Antoni,1
314241,Valencia,Ciutat Vella (Valencia),Sant Francesc,1
219242,Barcelona,Horta-Guinardó,Sant Genís dels Agudells,0
245243,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,0
245244,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,0
331245,Valencia,Patraix,Sant Isidre,0
338246,Valencia,Rascanya,Sant Llorenç,0
321247,Valencia,Jesús,Sant Marcel·lí,0
243248,Barcelona,Sant Martí,Sant Martí de Provençals,0
327249,Valencia,L'Olivereta,Sant Pau,0
213250,Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1
149251,Madrid,Villa de Vallecas,Santa Eugenia,0
244252,Barcelona,Sants-Montjuïc,Sants,1
244253,Barcelona,Sants-Montjuïc,Sants-Badal,0
245254,Barcelona,Sarrià-Sant Gervasi,Sarrià,0
141255,Madrid,San Blas-Canillejas,Simancas,0
109256,Madrid,Centro,Sol,1
