base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Idealista,111391627,850000.0,5483.870967741936,Piso,6.0,,155.0,2.0,139200,,Ascensor | Exterior,Medio,Medio,Madrid,Pacífico,340.0,0.2411,1-barrio+habitaciones,Baja rentabilidad,2.29,False
Idealista,111341719,1960000.0,6877.19298245614,Ático,6.0,,285.0,2.0,117210,,Garaje incluido | Ascensor | Exterior,Lujo,Medio,Madrid,Peñagrande,304.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.0,False
Idealista,110875352,1220000.0,7393.939393939394,Piso,6.0,,165.0,2.0,109201,,Ascensor | Exterior,Alto,Alto,Madrid,Palacio,270.725,0.2914,1-barrio+habitaciones,Baja rentabilidad,1.53,False
Idealista,111287228,950000.0,3392.8571428571427,Piso,6.0,,280.0,2.0,213101,,Ascensor | Exterior,Medio,Entrada,Barcelona,El Raval,498.2,0.2589,1-barrio+habitaciones,Baja rentabilidad,3.22,False
Idealista,110706416,550000.0,6470.588235294118,Piso,2.0,,85.0,2.0,146051,,Ascensor | Exterior,Medio,Medio,Madrid,Castillejos,119.0,0.1836,1-barrio+habitaciones,Baja rentabilidad,0.94,False
Idealista,111161575,325000.0,7558.139534883721,Piso,2.0,,43.0,2.0,146051,,Interior,Entrada,Alto,Madrid,Castillejos,119.0,0.1836,1-barrio+habitaciones,Baja rentabilidad,1.59,False
Idealista,111086861,220000.0,3013.698630136986,Piso,1.0,,73.0,2.0,213101,,Ascensor | Exterior,Entrada,Entrada,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.44,False
Idealista,109394785,1169000.0,13134.831460674155,Piso,1.0,,89.0,2.0,139110,,Garaje incluido | Ascensor | Exterior,Alto,Lujo,Madrid,Estrella,137.7,0.1522,1-barrio+habitaciones,Baja rentabilidad,0.43,False
Idealista,110845763,650000.0,6074.7663551401865,Piso,3.0,,107.0,2.0,139200,,Ascensor | Exterior,Medio,Medio,Madrid,Pacífico,159.8,0.2411,1-barrio+habitaciones,Baja rentabilidad,1.41,False
Idealista,111232991,216000.0,6171.428571428572,Piso,1.0,,35.0,2.0,213134,,,Entrada,Medio,Barcelona,La Barceloneta,133.56,0.226,1-barrio+habitaciones,Baja rentabilidad,3.32,False
