id_barrio_oficial,barrio_oficial,Latitud,Longitud
129258,Timón,40.474255,-3.591582
322259,Tormos,39.489253,-0.379473
230260,Torre Baró,41.457801,2.177364
338261,Torrefiel,39.49535,-0.376931
111262,Trafalgar,40.43286,-3.701138
327263,Tres Forques,39.466378,-0.40093
322264,Trinitat,39.482239,-0.368582
109265,Universidad,40.425667,-3.7071
146266,Valdeacederas,40.467059,-3.704156
148267,Valdebernardo,40.397082,-3.614608
120268,Valdefuentes,40.486315,-3.621683
128269,Valdemarín,40.468085,-3.779035
128270,Valdezarza,40.4653,-3.717281
218271,Vallcarca i els Penitents,41.416315,2.14102
111272,Vallehermoso,40.442887,-3.711259
245273,"Vallvidrera, el Tibidabo i les Planes",41.419045,2.096552
117274,Valverde,40.494689,-3.687089
331275,Vara de Quart,39.459229,-0.407215
112276,Ventas,40.422483,-3.647417
230277,Verdun,41.44281,2.175655
218278,Vila de Gràcia,41.403128,2.156895
230279,Vilapicina i la Torre Llobeta,41.428599,2.174093
129280,Vinateros,40.405226,-3.642503
108281,Vista Alegre,40.384383,-3.745701
147282,Zofío,40.379348,-3.71531
