escenario,base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
E3_sin_barcelona,Idealista,110812378,Madrid,Embajadores,109106,Piso,2.0,57.0,0.0,258000.0,127.5,0.3064,1-barrio+habitaciones,3.59,Baja rentabilidad
E3_sin_barcelona,Idealista,110909224,Madrid,Embajadores,109106,Piso,4.0,143.0,1.0,599000.0,296.225,0.3064,1-barrio+habitaciones,3.59,Baja rentabilidad
E3_sin_barcelona,Idealista,111203203,Madrid,Embajadores,109106,Piso,2.0,46.0,2.0,259900.0,127.5,0.3064,1-barrio+habitaciones,3.57,Baja rentabilidad
E3_sin_barcelona,Fotocasa,182920291,Madrid,Embajadores,109106,Piso,2.0,84.0,,260000.0,127.5,0.3064,1-barrio+habitaciones,3.56,Baja rentabilidad
E3_sin_barcelona,Idealista,109161971,Madrid,Cortes,109064,Piso,4.0,146.0,0.0,875000.0,385.9,0.3395,1-barrio+habitaciones,3.55,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188728032,Madrid,Cortes,109064,Loft,4.0,146.0,,875000.0,385.9,0.3395,1-barrio+habitaciones,3.55,Baja rentabilidad
E3_sin_barcelona,Idealista,110859849,Madrid,Universidad,109265,Piso,4.0,90.0,1.0,740000.0,386.325,0.286,1-barrio+habitaciones,3.54,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188727494,Madrid,Pacífico,139200,Piso,4.0,50.0,1.0,550000.0,340.0,0.2411,1-barrio+habitaciones,3.54,Baja rentabilidad
E3_sin_barcelona,Fotocasa,161927575,Madrid,Embajadores,109106,Piso,3.0,62.0,1.0,375000.0,181.9,0.3064,1-barrio+habitaciones,3.53,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188489698,Madrid,Palos de la Frontera,102205,Piso,2.0,45.0,,280000.0,121.55,0.3429,1-barrio+habitaciones,3.53,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189534139,Madrid,Comillas,108061,Piso,3.0,76.0,2.0,339000.0,153.0,0.3283,1-barrio+habitaciones,3.52,Baja rentabilidad
E3_sin_barcelona,Idealista,110947096,Madrid,Cortes,109064,Piso,3.0,79.0,0.0,490000.0,214.2,0.3395,1-barrio+habitaciones,3.52,Baja rentabilidad
E3_sin_barcelona,Idealista,110647404,Madrid,Sol,109256,Piso,1.0,64.0,3.0,255000.0,112.2,0.3349,1-barrio+habitaciones,3.5,Baja rentabilidad
E3_sin_barcelona,Idealista,107226333,Madrid,Justicia,109130,Piso,2.0,38.0,0.0,290000.0,164.47500000000002,0.2602,1-barrio+habitaciones,3.5,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188554130,Madrid,Cortes,109064,Piso,4.0,116.0,2.0,890000.0,385.9,0.3395,1-barrio+habitaciones,3.49,Baja rentabilidad
E3_sin_barcelona,Idealista,110107324,Madrid,Cortes,109064,Piso,3.0,83.0,4.0,495000.0,214.2,0.3395,1-barrio+habitaciones,3.49,Baja rentabilidad
E3_sin_barcelona,Idealista,109775304,Madrid,Universidad,109265,Piso,2.0,43.0,2.0,290000.0,148.75,0.286,1-barrio+habitaciones,3.48,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189571364,Madrid,Embajadores,109106,Piso,4.0,105.0,4.0,619000.0,296.225,0.3064,1-barrio+habitaciones,3.48,Baja rentabilidad
E3_sin_barcelona,Idealista,110438977,Madrid,Sol,109256,Piso,4.0,110.0,3.0,845000.0,370.6,0.3349,1-barrio+habitaciones,3.48,Baja rentabilidad
E3_sin_barcelona,Idealista,111236999,Madrid,Palacio,109201,Piso,2.0,60.0,4.0,298000.0,149.6,0.2914,1-barrio+habitaciones,3.47,Baja rentabilidad
E3_sin_barcelona,Idealista,111339566,Madrid,Sol,109256,Piso,1.0,60.0,5.0,258000.0,112.2,0.3349,1-barrio+habitaciones,3.46,Baja rentabilidad
E3_sin_barcelona,Idealista,109026649,Madrid,Universidad,109265,Piso,2.0,60.0,-1.0,292000.0,148.75,0.286,1-barrio+habitaciones,3.46,Baja rentabilidad
